customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST0031,Male,0,Yes,Yes,23,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,No internet service,One year,Yes,Bank transfer,53.14,1224.42,Yes
CUST0032,Male,1,No,Yes,34,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Electronic check,117.72,4003.69,No
CUST0033,Female,1,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,106.34,5856.99,No
CUST0034,Female,0,Yes,No,29,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Two year,Yes,Credit card,52.3,1520.19,No
CUST0035,Female,0,No,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No,Two year,No,Mailed check,66.38,3715.35,No
CUST0036,Male,1,Yes,Yes,46,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,No,Two year,No,Credit card,61.51,2836.71,No
CUST0037,Female,0,Yes,No,34,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Bank transfer,34.91,1180.56,No
CUST0038,Male,0,No,No,18,Yes,No,DSL,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,115.78,2084.92,Yes
CUST0039,Male,0,Yes,No,7,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,No,Bank transfer,60.43,432.02,No
CUST0040,Male,0,Yes,Yes,25,Yes,No,No,No internet service,No,No,No,No internet service,No,Month-to-month,No,Electronic check,107.53,2690.76,No
CUST0041,Male,1,Yes,No,70,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,38.94,2732.14,Yes
CUST0042,Male,0,No,No,29,No,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,74.79,2171.98,Yes
CUST0043,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,22.4,141.19,Yes
CUST0044,Female,0,Yes,No,66,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Two year,No,Credit card,96.42,6372.61,No
CUST0045,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card,78.09,4993.22,Yes
CUST0046,Female,0,Yes,Yes,35,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card,82.56,2882.99,No
CUST0047,Female,0,No,No,24,Yes,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,One year,No,Bank transfer,25.17,603.76,No
CUST0048,Male,0,No,No,36,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,41.1,1483.64,Yes
CUST0049,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,27.43,-5.46,Yes
CUST0050,Female,0,No,No,14,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,One year,Yes,Electronic check,48.89,674.54,No
CUST0051,Male,0,No,No,36,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer,82.74,2975.5,No
CUST0052,Female,1,Yes,No,12,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,76.62,928.82,Yes
CUST0053,Male,0,No,Yes,7,Yes,No,No,No internet service,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,81.21,572.37,No
CUST0054,Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,74.93,297.75,No
CUST0055,Male,1,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,47.3,2784.55,No
CUST0056,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.45,3197.52,Yes
CUST0057,Female,0,Yes,No,0,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,33.71,-6.6,No
CUST0058,Male,0,No,Yes,35,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No internet service,Two year,Yes,Bank transfer,104.91,3663.98,No
CUST0059,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,No,No,Yes,No,No internet service,Two year,No,Electronic check,81.65,2784.23,No
CUST0060,Male,0,No,Yes,65,Yes,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,38.65,2522.2,No
CUST0061,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,37.72,2331.92,No
CUST0062,Male,0,No,Yes,22,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,No,One year,Yes,Electronic check,107.3,2351.69,No
CUST0063,Male,0,No,No,8,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card,94.27,750.75,No
CUST0064,Male,0,No,Yes,33,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,85.94,2835.25,Yes
CUST0065,Male,0,No,Yes,45,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer,60.69,2725.15,No
CUST0066,Female,0,No,Yes,3,No,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer,46.2,134.63,Yes
CUST0067,Female,0,Yes,Yes,29,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,117.95,3414.57,No
CUST0068,Male,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,99.72,7085.61,Yes
CUST0069,Female,1,No,No,2,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,50.18,104.61,No
CUST0070,Female,0,No,No,13,Yes,No phone service,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer,104.76,1364.58,Yes
CUST0071,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,95.89,5655.25,Yes
CUST0072,Female,0,No,Yes,44,Yes,Yes,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,49.71,2195.42,Yes
CUST0073,Male,0,Yes,Yes,33,No,No phone service,DSL,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card,62.66,2077.17,No
CUST0074,Female,0,Yes,Yes,44,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,38.6,1691.87,Yes
CUST0075,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer,31.11,1861.06,No
CUST0076,Female,1,No,Yes,15,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card,92.28,1384.71,No
CUST0077,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Bank transfer,46.75,3030.58,No
CUST0078,Female,1,Yes,Yes,39,No,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,102.01,3977.12,Yes
CUST0079,Male,0,Yes,No,16,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer,119.56,1914.6,Yes
CUST0080,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,27.66,913.22,Yes
CUST0081,Male,0,Yes,Yes,15,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,67.3,1006.12,Yes
CUST0082,Female,1,Yes,No,59,Yes,No,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,100.21,5913.24,No
CUST0083,Male,0,No,Yes,65,Yes,No,DSL,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,98.9,6437.68,Yes
CUST0084,Female,0,Yes,Yes,65,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,96.0,6234.12,No
CUST0085,Male,0,No,Yes,12,Yes,No,DSL,No,Yes,No,Yes,No internet service,No,Month-to-month,No,Credit card,54.9,661.9,No
CUST0086,Male,0,Yes,No,55,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,65.39,3587.32,Yes
CUST0087,Female,0,No,Yes,30,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Mailed check,79.5,2376.33,No
CUST0088,Male,0,No,Yes,33,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer,117.39,3874.91,No
CUST0089,Female,0,No,No,38,No,Yes,No,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Credit card,52.75,1996.6,No
CUST0090,Female,0,No,No,66,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,112.31,7402.91,No
CUST0091,Female,0,No,No,7,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,46.94,322.01,No
CUST0092,Female,0,No,Yes,54,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Mailed check,118.91,6422.44,No
CUST0093,Female,0,Yes,Yes,26,Yes,No,DSL,No,No,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer,87.03,2266.85,No
CUST0094,Female,0,No,Yes,52,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer,66.35,3444.25,No
CUST0095,Female,1,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Two year,Yes,Bank transfer,81.34,3094.29,No
CUST0096,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,47.25,3017.65,No
CUST0097,Female,0,No,Yes,16,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer,47.42,760.99,No
CUST0098,Female,0,Yes,No,29,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,31.36,907.68,Yes
CUST0099,Female,0,No,No,52,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,31.41,1636.4,No
CUST0100,Male,0,Yes,No,12,Yes,No phone service,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer,54.77,667.14,No
CUST0101,Male,0,Yes,No,20,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,No,Credit card,96.29,1934.56,Yes
CUST0102,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,80.8,1444.49,No
CUST0103,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,30.26,1581.23,No
CUST0104,Female,0,No,No,18,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,105.22,1885.29,No
CUST0105,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card,80.14,4496.9,Yes
CUST0106,Female,0,Yes,Yes,24,Yes,No phone service,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,116.09,2781.8,No
CUST0107,Female,0,No,No,30,Yes,No phone service,DSL,Yes,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card,87.02,2608.24,No
CUST0108,Female,0,No,No,54,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card,37.52,2017.91,No
CUST0109,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,67.38,1474.61,No
CUST0110,Male,0,No,Yes,31,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,84.85,2634.88,No
CUST0111,Female,0,Yes,No,61,No,Yes,DSL,No internet service,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,22.83,1401.52,No
CUST0112,Male,0,Yes,No,9,Yes,No,DSL,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,21.49,195.62,Yes
CUST0113,Female,0,No,No,71,Yes,No,No,Yes,No internet service,No,No,No internet service,Yes,Two year,Yes,Credit card,32.94,2343.06,No
CUST0114,Female,0,No,No,53,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Bank transfer,45.17,2399.25,Yes
CUST0115,Male,1,No,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Two year,No,Electronic check,62.95,3205.71,No
CUST0116,Female,1,Yes,Yes,19,Yes,Yes,DSL,No,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,68.74,1296.96,No
CUST0117,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Credit card,33.8,1037.84,No
CUST0118,Female,0,No,Yes,13,No,Yes,No,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card,87.34,1132.43,No
CUST0119,Female,0,No,No,49,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,One year,Yes,Credit card,79.61,3895.72,No
CUST0120,Male,0,No,No,27,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No,Month-to-month,No,Bank transfer,49.45,1326.4,No
CUST0121,Female,0,No,No,52,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.37,1104.83,No
CUST0122,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,27.76,630.97,No
CUST0123,Female,0,No,No,21,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Two year,No,Electronic check,59.17,1250.87,No
CUST0124,Male,0,Yes,No,29,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Mailed check,35.4,1019.41,No
CUST0125,Male,0,Yes,No,62,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Bank transfer,57.68,3576.91,Yes
CUST0126,Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,82.82,250.32,No
CUST0127,Female,0,No,No,58,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,74.72,4334.63,No
CUST0128,Male,0,No,Yes,7,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,43.12,293.82,Yes
CUST0129,Female,0,Yes,No,11,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,No,Two year,No,Credit card,54.38,594.56,No
CUST0130,Female,0,No,Yes,30,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer,81.4,2433.03,No
CUST0131,Female,0,No,Yes,33,Yes,No phone service,No,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Credit card,106.09,3498.88,Yes
CUST0132,Male,1,Yes,Yes,48,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,95.32,4569.13,No
CUST0133,Male,0,No,No,56,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer,75.34,4220.27,Yes
CUST0134,Male,0,Yes,No,25,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,56.23,1409.61,Yes
CUST0135,Male,0,No,Yes,17,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,56.51,961.31,No
CUST0136,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer,107.94,3992.46,Yes
CUST0137,Male,0,No,No,49,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,23.92,1169.83,No
CUST0138,Male,0,No,No,7,Yes,No,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,118.8,838.43,No
CUST0139,Male,0,Yes,Yes,40,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,86.44,3451.99,No
CUST0140,Male,0,Yes,No,5,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,88.11,445.23,No
CUST0141,Female,0,No,No,68,No,No,DSL,No,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,23.8,1623.55,No
CUST0142,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,80.55,3462.03,No
CUST0143,Female,0,Yes,No,63,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No,One year,Yes,Mailed check,68.48,4310.19,No
CUST0144,Female,0,Yes,Yes,28,Yes,No phone service,No,No,No internet service,No,Yes,No,No,One year,No,Bank transfer,30.58,855.65,Yes
CUST0145,Female,0,Yes,No,27,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer,47.79,1282.19,No
CUST0146,Male,1,No,No,10,Yes,No,DSL,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,109.03,1081.22,Yes
CUST0147,Male,0,No,Yes,64,No,No phone service,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.0,4792.23,No
CUST0148,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Bank transfer,61.34,1097.86,Yes
CUST0149,Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No internet service,No,No,Yes,One year,No,Mailed check,27.27,218.24,Yes
CUST0150,Female,0,Yes,No,26,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,91.41,2383.64,No
CUST0151,Male,0,Yes,No,33,Yes,No phone service,DSL,No internet service,Yes,No,No,Yes,No,Two year,No,Credit card,90.29,2974.28,No
CUST0152,Male,0,No,No,43,Yes,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Two year,Yes,Mailed check,81.4,3508.9,No
CUST0153,Male,0,No,Yes,67,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,71.03,4768.11,Yes
CUST0154,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,63.38,896.5,No
CUST0155,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,79.33,3973.25,No
CUST0156,Female,0,Yes,No,12,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card,43.34,517.36,Yes
CUST0157,Male,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,114.13,5469.69,No
CUST0158,Female,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,Yes,No,Yes,No,Two year,No,Mailed check,78.88,5444.1,No
CUST0159,Male,0,No,No,55,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,51.12,2812.77,Yes
CUST0160,Female,0,Yes,Yes,50,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Bank transfer,64.97,3255.5,No
CUST0161,Male,0,No,Yes,36,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,Yes,One year,No,Credit card,100.57,3630.44,No
CUST0162,Male,1,Yes,No,16,Yes,No phone service,No,No internet service,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,36.16,578.72,No
CUST0163,Female,0,No,Yes,57,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,No,Mailed check,49.28,2805.86,No
CUST0164,Female,0,Yes,No,28,Yes,No phone service,No,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Bank transfer,87.95,2456.32,No
CUST0165,Female,0,Yes,No,32,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Mailed check,51.55,1639.7,No
CUST0166,Male,0,Yes,Yes,59,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,99.25,5855.93,No
CUST0167,Female,0,No,No,54,Yes,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,33.05,1785.81,No
CUST0168,Male,0,Yes,No,9,Yes,No phone service,DSL,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,96.27,872.93,No
CUST0169,Male,0,No,Yes,46,Yes,No,DSL,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Credit card,26.84,1234.73,No
CUST0170,Female,0,No,No,22,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,21.26,476.05,No
CUST0171,Female,0,Yes,No,20,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,Yes,Bank transfer,109.82,2198.96,No
CUST0172,Male,1,Yes,Yes,12,Yes,Yes,No,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Electronic check,78.13,944.37,No
